literal;functor;domain
battery_charge(_);battery_charge;car_control
tire_pressure(front_left, 32);tire_pressure;car_control
tire_pressure(front_right, 33);tire_pressure;car_control
tire_pressure(rear_left, 34);tire_pressure;car_control
tire_pressure(rear_right, 35);tire_pressure;car_control
tire_pressure(_, 28);tire_pressure;car_control
tire_pressure(_, _);tire_pressure;car_control
wiper_speed(1);wiper_speed;car_control
wiper_speed(0);wiper_speed;car_control
wiper_speed(2);wiper_speed;car_control
wiper_speed(3);wiper_speed;car_control
wiper_speed(_);wiper_speed;car_control
climate_control(unit(20), 2, heat);climate_control;car_control
climate_control(unit(18), 1, cool);climate_control;car_control
climate_control(unit(24), 3, refresh);climate_control;car_control
climate_control(unit(22), _, _);climate_control;car_control
climate_control(_, _, _);climate_control;car_control
seat_belt_fastened(driver, fastened);seat_belt_fastened;car_control
seat_belt_fastened(passenger, unfastened);seat_belt_fastened;car_control
seat_belt_fastened(rear_left, fastened);seat_belt_fastened;car_control
seat_belt_fastened(rear_right, _);seat_belt_fastened;car_control
seat_belt_fastened(_, unfastened);seat_belt_fastened;car_control
odometer_reading(km(850), hour(10));odometer_reading;car_control
odometer_reading(mi(400), hour(6));odometer_reading;car_control
odometer_reading(km(1200), hour(15));odometer_reading;car_control
odometer_reading(km(_), hour(_));odometer_reading;car_control
odometer_reading(_, _);odometer_reading;car_control
destination_set(paris);destination_set;car_control
destination_set(rome);destination_set;car_control
destination_set(delhi);destination_set;car_control
destination_set(_, _);destination_set;car_control
destination_set("45.4215N,75.6972W");destination_set;car_control
vehicle_status(stopped);vehicle_status;car_control
vehicle_status(error);vehicle_status;car_control
vehicle_status(_);vehicle_status;car_control
engine_state(running);engine_state;car_control
engine_state(_);engine_state;car_control
light_status(fog, broken);light_status;car_control
light_status(parking, blinking);light_status;car_control
tire_pressure(front, 36);tire_pressure;car_control
tire_pressure(rear, 33);tire_pressure;car_control
tire_pressure(_, 27);tire_pressure;car_control
seat_belt_fastened(_, _);seat_belt_fastened;car_control
door_status(trunk, open);door_status;car_control
door_status(hood, closed);door_status;car_control
door_status(_, open);door_status;car_control
current_speed(120, kph);current_speed;car_control
current_speed(_, kph);current_speed;car_control
target_speed(_, _);target_speed;car_control
battery_charge(100);battery_charge;car_control
battery_charge(5);battery_charge;car_control
battery_charge(60);battery_charge;car_control
climate_control(unit(19), 1, cool);climate_control;car_control
climate_control(unit(21), 2, heat);climate_control;car_control
odometer_reading(mi(100), hour(2));odometer_reading;car_control
destination_set(toronto);destination_set;car_control
destination_set(tokyo);destination_set;car_control
calories(veal, unit(50, gr), 81);calories;cooking
calories(pizza(napoletana), unit(1, piece), 443);calories;cooking
calories(pasta(norma), unit(1, portion), 325);calories;cooking
ingredients(pasta(bolognese), [veal, besciamella, tomato_sauce]);ingredients;cooking
ingredients(pizza(marinara), [flour, garlic, water, tomato]);ingredients;cooking
pairing(pizza(quattro_stagioni), wine(red));pairing;cooking
pairing(cabbage, beer(guinness));pairing;cooking
price(pasta, euros(10));price;cooking
ingredients(pasta(norma), [eggplant, tomato_sauce, ricotta_salata]);ingredients;cooking
ingredients(pizza(diavola), [flour, tomato, mozzarella, spicy_salami]);ingredients;cooking
ingredients(pasta(puttanesca), [tomato, capers, olives, garlic]);ingredients;cooking
ingredients(salad(greek), [feta, olives, tomato, cucumber]);ingredients;cooking
ingredients(soup(lentil), _);ingredients;cooking
ingredients(cake(vanilla), [flour, sugar, eggs, vanilla]);ingredients;cooking
ingredients(_, [flour, sugar, eggs]);ingredients;cooking
ingredients(chicken(tandoori), [yogurt, spices, chicken]);ingredients;cooking
ingredients(pizza(vegetariana), _);ingredients;cooking
ingredients(_, _);ingredients;cooking
calories(pasta(puttanesca), unit(1, portion), 350);calories;cooking
calories(salad(greek), unit(100, gr), 120);calories;cooking
calories(pizza(diavola), unit(1, piece), 480);calories;cooking
calories(chocolate, unit(100, gr), 550);calories;cooking
calories(pasta(amatriciana), unit(1, portion), 400);calories;cooking
calories(_, unit(1, portion), 150);calories;cooking
calories(_, _, _);calories;cooking
calories(bread, unit(1, slice), 80);calories;cooking
calories(icecream, unit(1, scoop), 210);calories;cooking
calories(beef, unit(200, gr), _);calories;cooking
calories(egg, unit(1, piece), 75);calories;cooking
calories(_, unit(100, gr), _);calories;cooking
pairing(pizza(diavola), beer(amber));pairing;cooking
pairing(pasta(puttanesca), wine(red));pairing;cooking
pairing(salad(caesar), wine(white));pairing;cooking
pairing(soup(lentil), water(still));pairing;cooking
pairing(cheese(brie), wine(white));pairing;cooking
pairing(cake(vanilla), tea(black));pairing;cooking
pairing(steak, wine(red));pairing;cooking
pairing(fish(salmon), wine(white));pairing;cooking
pairing(_, wine(white));pairing;cooking
pairing(_, _);pairing;cooking
pairing(beef, wine(red));pairing;cooking
pairing(pizza, beer(blonde));pairing;cooking
pairing(meat, wine(red));pairing;cooking
pairing(_, beer(dark));pairing;cooking
pairing(salad, water(sparkling));pairing;cooking
pairing(pasta(carbonara), beer(pilsner));pairing;cooking
pairing(chocolate, wine(red));pairing;cooking
pairing(cake(chocolate), coffee(espresso));pairing;cooking
price(pasta, euros(12));price;cooking
price(pizza, euros(9));price;cooking
price(cake, euros(25));price;cooking
price(meat, euros(35));price;cooking
price(_, euros(_));price;cooking
price(fish, euros(18));price;cooking
price(wine(red), euros(40));price;cooking
price(beer, euros(5));price;cooking
price(water, euros(1));price;cooking
price(_, pounds(10));price;cooking
price(_, dollars(15));price;cooking
price(meat, dollars(20));price;cooking
price(cake, pounds(30));price;cooking
price(pasta, pounds(15));price;cooking
price(_, _);price;cooking
protein(chicken(breast), unit(100, gr), 31);protein;cooking
protein(egg, unit(1, piece), 6);protein;cooking
protein(_, unit(100, gr), 20);protein;cooking
protein(tofu, unit(100, gr), 8);protein;cooking
protein(_, _, _);protein;cooking
protein(beef, unit(100, gr), 26);protein;cooking
protein(lentils, unit(100, gr), 9);protein;cooking
protein(cheese, unit(100, gr), 25);protein;cooking
protein(beans, unit(200, gr), _);protein;cooking
protein(fish, unit(100, gr), 22);protein;cooking
ingredients(pasta(gricia), [guanciale, pecorino, black_pepper]);ingredients;cooking
ingredients(pizza(white), [flour, mozzarella, rosemary]);ingredients;cooking
ingredients(salad(caesar), [lettuce, parmesan, croutons, chicken]);ingredients;cooking
ingredients(pasta(cacio_pepe), _);ingredients;cooking
ingredients(cake(apple), _);ingredients;cooking
ingredients(_, [tomato, basil, mozzarella]);ingredients;cooking
calories(pizza(four_cheese), unit(1, piece), 470);calories;cooking
calories(pasta(gricia), unit(1, portion), 380);calories;cooking
calories(lettuce, unit(100, gr), 15);calories;cooking
calories(yogurt, unit(1, pot), 120);calories;cooking
calories(_, _, 100);calories;cooking
price(pizza(napoletana), euros(8));price;cooking
price(pasta(puttanesca), euros(11));price;cooking
price(chocolate, euros(4));price;cooking
price(bread, euros(2));price;cooking
price(egg, euros(0.5));price;cooking
price(cheese, euros(15));price;cooking
price(_, pounds(50));price;cooking
price(_, euros(30));price;cooking
pairing(soup(tomato), wine(white));pairing;cooking
pairing(pasta(normanna), wine(red));pairing;cooking
pairing(fish(trout), beer(blonde));pairing;cooking
pairing(meatballs, beer(lager));pairing;cooking
pairing(chicken(curry), wine(white));pairing;cooking
pairing(_, tea(green));pairing;cooking
pairing(_, coffee);pairing;cooking
last_order_id(1);last_order_id;domestic_robot
order(Product,Quantity);order;domestic_robot
available(beer,fridge);available;domestic_robot
too_much(B, Q);too_much;domestic_robot
limit(beer,10);limit;domestic_robot
has(owner,beer);has;domestic_robot
delivered(beer,Quantity,OrderId);delivered;domestic_robot
stock(beer,N);stock;domestic_robot
time(T);time;domestic_robot
get(beer);get;domestic_robot
drink(beer);drink;domestic_robot
last_order_id(6);last_order_id;domestic_robot
last_order_id(7);last_order_id;domestic_robot
last_order_id(_);last_order_id;domestic_robot
order(pizza, 3);order;domestic_robot
order(sushi, 5);order;domestic_robot
order(cake, 1);order;domestic_robot
order(_, 2);order;domestic_robot
order(beer, 8);order;domestic_robot
order(candy, 4);order;domestic_robot
order(hotdog, _);order;domestic_robot
order(water, 6);order;domestic_robot
order(_, _);order;domestic_robot
available(soda, fridge);available;domestic_robot
available(pasta, pantry);available;domestic_robot
available(_, fridge);available;domestic_robot
available(juice, table);available;domestic_robot
available(cake, fridge);available;domestic_robot
available(_, _);available;domestic_robot
too_much(candy, 4);too_much;domestic_robot
too_much(beer, 6);too_much;domestic_robot
too_much(_, 7);too_much;domestic_robot
too_much(_, _);too_much;domestic_robot
limit(water, 10);limit;domestic_robot
limit(cake, 3);limit;domestic_robot
limit(_, 5);limit;domestic_robot
limit(soda, 8);limit;domestic_robot
limit(hotdog, _);limit;domestic_robot
limit(_, _);limit;domestic_robot
has(owner, beer);has;domestic_robot
has(customer, water);has;domestic_robot
has(_, cake);has;domestic_robot
has(_, _);has;domestic_robot
stock(juice, 50);stock;domestic_robot
stock(candy, 20);stock;domestic_robot
stock(_, 100);stock;domestic_robot
stock(_, _);stock;domestic_robot
stock(pizza, 10);stock;domestic_robot
stock(wine, 15);stock;domestic_robot
time("13:00");time;domestic_robot
time("08:45");time;domestic_robot
time(_);time;domestic_robot
time("18:30");time;domestic_robot
time("22:10");time;domestic_robot
time("06:15");time;domestic_robot
get(beer);get;domestic_robot
get(water);get;domestic_robot
get(sandwich);get;domestic_robot
get(pizza);get;domestic_robot
get(_);get;domestic_robot
get(cake);get;domestic_robot
drink(juice);drink;domestic_robot
drink(water);drink;domestic_robot
drink(_, _);drink;domestic_robot
drink(beer);drink;domestic_robot
drink(wine);drink;domestic_robot
drink(coke);drink;domestic_robot
drink(_);drink;domestic_robot
delivered(beer, 5, 1);delivered;domestic_robot
delivered(pizza, 3, 2);delivered;domestic_robot
delivered(wine, 7, _);delivered;domestic_robot
delivered(candy, 10, 3);delivered;domestic_robot
delivered(water, 2, _);delivered;domestic_robot
delivered(sandwich, 6, 5);delivered;domestic_robot
delivered(_, _, _);delivered;domestic_robot
delivered(soda, 8, 4);delivered;domestic_robot
delivered(juice, _, 6);delivered;domestic_robot
delivered(_, 1, 7);delivered;domestic_robot
order(candy, _);order;domestic_robot
order(_, 1);order;domestic_robot
order(_, _);order;domestic_robot
limit(juice, 4);limit;domestic_robot
limit(_, 10);limit;domestic_robot
has(_, wine);has;domestic_robot
has(customer, soda);has;domestic_robot
has(_, pasta);has;domestic_robot
available(sandwich, _);available;domestic_robot
available(_, pantry);available;domestic_robot
stock(sandwich, _);stock;domestic_robot
stock(_, 75);stock;domestic_robot
too_much(beer, 5);too_much;domestic_robot
too_much(juice, _);too_much;domestic_robot
time("10:10");time;domestic_robot
time("15:00");time;domestic_robot
drink(soda);drink;domestic_robot
drink(_, _);drink;domestic_robot
get(juice);get;domestic_robot
get(_, _);get;domestic_robot
order(water, _);order;domestic_robot
order(juice, _);order;domestic_robot
order(coke, 5);order;domestic_robot
last_order_id(8);last_order_id;domestic_robot
last_order_id(9);last_order_id;domestic_robot
last_employee_id(7890);last_employee_id;employer_management
employee_details(EmployeeID, FirstName, LastName, DateOfBirth, Email, PhoneNumber);employee_details;employer_management
employment_info(EmployeeID, JobTitle, Department, HireDate, EmploymentStatus);employment_info;employer_management
contact_info(EmployeeID, EmergencyContactName, EmergencyContactNumber, Relationship);contact_info;employer_management
salary_details(EmployeeID, BaseSalary, Currency, PayFrequency);salary_details;employer_management
department_details(DepartmentID, DepartmentName, ManagerID);department_details;employer_management
manager_of(ManagerID, DepartmentID);manager_of;employer_management
performance_review(EmployeeID, ReviewDate, ReviewerID, Rating, Comments);performance_review;employer_management
skill_set(EmployeeID, SkillName, ProficiencyLevel);skill_set;employer_management
certification_details(EmployeeID, CertificationName, IssueDate, ExpirationDate);certification_details;employer_management
leave_request(RequestID, EmployeeID, LeaveType, StartDate, EndDate, Status);leave_request;employer_management
attendance_record(EmployeeID, Date, CheckInTime, CheckOutTime);attendance_record;employer_management
disciplinary_action(EmployeeID, ActionType, Date, Description);disciplinary_action;employer_management
training_attended(EmployeeID, TrainingCourseName, CompletionDate);training_attended;employer_management
access_level(EmployeeID, SystemName, Level);access_level;employer_management
hardware_assigned(EmployeeID, DeviceType, DeviceID, IssueDate);hardware_assigned;employer_management
last_employee_id(7891);last_employee_id;employer_management
last_employee_id(7900);last_employee_id;employer_management
last_employee_id(_);last_employee_id;employer_management
employee_details(7900, "Emma", "Clark", "02/06/1987", "emma.clark@company.com", "555-1234");employee_details;employer_management
employee_details(_, "Liam", "Turner", _, _, _);employee_details;employer_management
employment_info(7900, "QA Analyst", qa, "01/02/2021", active);employment_info;employer_management
employment_info(_, "Marketing Manager", marketing, "12/09/2019", on_leave);employment_info;employer_management
employment_info(1234, "HR Assistant", hr, _, _);employment_info;employer_management
contact_info(7900, "Olivia Clark", "555-5678", spouse);contact_info;employer_management
contact_info(_, "Daniel Smith", _, friend);contact_info;employer_management
salary_details(7900, 58000, usd, monthly);salary_details;employer_management
salary_details(_, 70000, eur, yearly);salary_details;employer_management
department_details(101, marketing, 4521);department_details;employer_management
department_details(_, finance, _);department_details;employer_management
manager_of(1111, hr);manager_of;employer_management
manager_of(_, it);manager_of;employer_management
performance_review(1234, "01/04/2024", 7890, 4.0, good);performance_review;employer_management
performance_review(5678, "20/06/2023", _, 4.8, excellent);performance_review;employer_management
skill_set(7900, java, intermediate);skill_set;employer_management
skill_set(_, communication, expert);skill_set;employer_management
skill_set(1001, project_management, advanced);skill_set;employer_management
certification_details(7900, "Scrum Master", "01/01/2022", "01/01/2025");certification_details;employer_management
certification_details(_, "Data Privacy", "05/10/2023", _);certification_details;employer_management
certification_details(5678, _, "15/03/2021", _);certification_details;employer_management
leave_request(2001, 7900, vacation, "01/08/2024", "15/08/2024", pending);leave_request;employer_management
leave_request(_, _, sick, _, _, approved);leave_request;employer_management
leave_request(2002, 1234, unpaid, "10/09/2023", "25/09/2023", rejected);leave_request;employer_management
attendance_record(7900, "last month", "08:30", "17:30");attendance_record;employer_management
attendance_record(_, "last month", _, _);attendance_record;employer_management
disciplinary_action(1234, warning, "10/01/2024", "Late submissions");disciplinary_action;employer_management
disciplinary_action(_, verbal_notice, "15/11/2023", _);disciplinary_action;employer_management
training_attended(7900, agile_training, "12/03/2024");training_attended;employer_management
training_attended(_, team_building, _);training_attended;employer_management
training_attended(9001, leadership, "05/05/2023");training_attended;employer_management
training_attended(_, diversity_and_inclusion, "12/01/2023");training_attended;employer_management
access_level(7900, email_system, user);access_level;employer_management
access_level(_, payroll, admin);access_level;employer_management
access_level(2345, crm, editor);access_level;employer_management
access_level(_, company_systems, _);access_level;employer_management
hardware_assigned(7900, laptop, "LT-9012", "10/02/2023");hardware_assigned;employer_management
hardware_assigned(5678, phone, "PH-5544", _);hardware_assigned;employer_management
hardware_assigned(_, monitor, "MN-0001", "05/05/2023");hardware_assigned;employer_management
hardware_assigned(_, _, _, _);hardware_assigned;employer_management
employee_details(8001, "Noah", "Green", _, _, _);employee_details;employer_management
employment_info(8001, "Support Engineer", it, "03/03/2022", active);employment_info;employer_management
contact_info(8001, "Lily Green", "555-1010", spouse);contact_info;employer_management
salary_details(8001, 62000, usd, monthly);salary_details;employer_management
department_details(102, operations, 6789);department_details;employer_management
manager_of(6789, operations);manager_of;employer_management
performance_review(8001, "12/12/2023", 5678, 4.2, good);performance_review;employer_management
skill_set(8001, sql, beginner);skill_set;employer_management
certification_details(8001, "ITIL Foundation", "01/07/2022", "01/07/2025");certification_details;employer_management
leave_request(3001, 8001, maternity, "01/04/2024", "01/08/2024", approved);leave_request;employer_management
attendance_record(8001, "last month", "09:00", "17:00");attendance_record;employer_management
disciplinary_action(8001, written_warning, "15/12/2023", "Policy violation");disciplinary_action;employer_management
training_attended(8001, mandatory_safety, "01/02/2024");training_attended;employer_management
access_level(8001, hr_portal, viewer);access_level;employer_management
hardware_assigned(8001, tablet, "TB-7788", "02/01/2023");hardware_assigned;employer_management
certification_details(1234, "Cloud Security", "10/02/2023", _);certification_details;employer_management
certification_details(_, _, _, expiration);certification_details;employer_management
training_attended(3003, remote_working, _);training_attended;employer_management
training_attended(9999, compliance_training, _);training_attended;employer_management
skill_set(_, leadership, expert);skill_set;employer_management
salary_details(1111, 85000, usd, yearly);salary_details;employer_management
salary_details(_, _, _, _);salary_details;employer_management
leave_request(_, _, vacation, "01/01/2025", "10/01/2025", pending);leave_request;employer_management
access_level(9999, intranet, user);access_level;employer_management
employee_details(_, "Ava", "White", _, _, _);employee_details;employer_management
performance_review(_, "01/02/2024", _, 3.8, satisfactory);performance_review;employer_management
training_attended(_, onboarding, _);training_attended;employer_management
hardware_assigned(_, docking_station, _, _);hardware_assigned;employer_management
certification_details(_, cybersecurity, "03/03/2022", _);certification_details;employer_management
training_attended(2002, project_management, _);training_attended;employer_management
hardware_assigned(2002, headset, _, _);hardware_assigned;employer_management
skill_set(2002, jira, advanced);skill_set;employer_management
user_account(Username, UserID, CreationDate);user_account;games_platform
game_details(GameID, Title, Genre, Price, Developer, Publisher, ReleaseDate);game_details;games_platform
user_library(UserID, GameName, PurchaseDate, PlaytimeHours);user_library;games_platform
game_owned(UserID, GameName);game_owned;games_platform
wishlist(UserID, GameName, AddedDate);wishlist;games_platform
in_cart(UserID, GameName, AddedToCartDate);in_cart;games_platform
game_on_sale(GameName, DiscountPercentage, EndDate);game_on_sale;games_platform
user_friend(UserID1, UserID2);user_friend;games_platform
achievement_unlocked(UserID, GameName, AchievementName, UnlockDate);achievement_unlocked;games_platform
game_review(GameName, UserID, Rating, ReviewDate);game_review;games_platform
download_status(UserID, GameName, ProgressPercentage);download_status;games_platform
multiplayer_session(GameName, SessionID, PlayerCount, MaxPlayers);multiplayer_session;games_platform
community_forum_post(PostID, UserID, ForumTopic, PostDate, Content);community_forum_post;games_platform
wallet_balance(UserID, CurrentBalance);wallet_balance;games_platform
user_account("GamerX", 1001, "01/01/2023");user_account;games_platform
user_account(_, 1002, "02/02/2023");user_account;games_platform
user_account("NoScopeNinja", _, _);user_account;games_platform
user_friend(10, 14);user_friend;games_platform
user_friend(3, 5);user_friend;games_platform
user_friend(_, _);user_friend;games_platform
wallet_balance(1001, 50);wallet_balance;games_platform
wallet_balance(_, 75);wallet_balance;games_platform
wallet_balance(1003, _);wallet_balance;games_platform
game_owned(1001, "HollowKnight");game_owned;games_platform
game_owned(_, "Cyberpunk2077");game_owned;games_platform
game_owned(1005, _);game_owned;games_platform
wishlist(1001, "DeathStranding", "12/12/2023");wishlist;games_platform
wishlist(1010, "RE4Remake", _);wishlist;games_platform
wishlist(_, "Sekiro", _);wishlist;games_platform
in_cart(1002, "Bloodborne", "06/06/2025");in_cart;games_platform
in_cart(_, "DOOM", _);in_cart;games_platform
in_cart(1003, _, _);in_cart;games_platform
game_on_sale("Starfield", 25, "30/07/2025");game_on_sale;games_platform
game_on_sale(_, 10, "15/08/2025");game_on_sale;games_platform
game_on_sale("Cyberpunk2077", _, _);game_on_sale;games_platform
achievement_unlocked(1011, "Sekiro", "DragonSlayer", "20/05/2025");achievement_unlocked;games_platform
achievement_unlocked(_, "EldenRing", "RadahnDefeated", _);achievement_unlocked;games_platform
achievement_unlocked(1006, "Hades", _, _);achievement_unlocked;games_platform
game_review("GhostOfTsushima", 10, 5, "01/01/2024");game_review;games_platform
game_review("Witcher3", 11, _, _);game_review;games_platform
game_review(_, _, 3, _);game_review;games_platform
download_status(1002, "GTA5", 80);download_status;games_platform
download_status(1003, _, 0);download_status;games_platform
download_status(_, "Valorant", _);download_status;games_platform
multiplayer_session("Overwatch2", 20252, 5, 10);multiplayer_session;games_platform
multiplayer_session("ApexLegends", _, _, _);multiplayer_session;games_platform
multiplayer_session(_, _, 2, 3);multiplayer_session;games_platform
community_forum_post(201, 1001, "SoulsborneGames", "15/06/2024", "Love the difficulty!");community_forum_post;games_platform
community_forum_post(202, _, "TipsAndTricks", _, _);community_forum_post;games_platform
community_forum_post(_, _, _, _, "Any co-op partners?");community_forum_post;games_platform
user_library(1001, "Sekiro", "01/05/2024", 120);user_library;games_platform
user_library(_, "RE4Remake", _, _);user_library;games_platform
user_library(1002, _, _, 90);user_library;games_platform
user_account("PixelRogue", 1020, "11/11/2022");user_account;games_platform
user_account("ShadowWalker", 1055, "12/12/2023");user_account;games_platform
user_friend(1020, 1055);user_friend;games_platform
wallet_balance(1020, 0);wallet_balance;games_platform
game_owned(1020, "DeadCells");game_owned;games_platform
wishlist(1020, "Blasphemous", "04/04/2024");wishlist;games_platform
achievement_unlocked(1020, "DeadCells", "BossRush", "06/06/2025");achievement_unlocked;games_platform
download_status(1020, "DeadCells", 100);download_status;games_platform
game_review("DeadCells", 1020, 5, "07/07/2025");game_review;games_platform
in_cart(1020, "Blasphemous2", "08/08/2025");in_cart;games_platform
game_on_sale("Blasphemous", 50, "01/09/2025");game_on_sale;games_platform
multiplayer_session("Warframe", 22333, 4, 8);multiplayer_session;games_platform
community_forum_post(203, 1020, "IndieGames", "10/10/2024", "Try Dead Cells!");community_forum_post;games_platform
user_library(1020, "HollowKnight", "03/03/2024", 200);user_library;games_platform
user_account("CritHit", 1100, "01/01/2020");user_account;games_platform
wallet_balance(1100, 5);wallet_balance;games_platform
game_owned(1100, "Frostpunk");game_owned;games_platform
wishlist(1100, "Frostpunk2", _);wishlist;games_platform
in_cart(1100, "Frostpunk2", "01/06/2025");in_cart;games_platform
achievement_unlocked(1100, "Frostpunk", "Survivor", "10/10/2023");achievement_unlocked;games_platform
download_status(1100, "Frostpunk", 100);download_status;games_platform
community_forum_post(204, 1100, "CityBuilders", "01/12/2024", "This game is intense!");community_forum_post;games_platform
multiplayer_session("Valorant", 3201, 5, 5);multiplayer_session;games_platform
game_review("Valorant", 1100, 4, "05/05/2024");game_review;games_platform
user_library(1100, "Frostpunk", "01/01/2020", 90);user_library;games_platform
